idx,query,gold,rag_rank,kg_rank,hybrid_rank
158,Hợp đồng tham gia bán hàng đa cấp được quy định như thế nào?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D46,1,1,1
159,Trách nhiệm của Mặt trận Tổ quốc Việt Nam và tổ chức chính trị - xã hội trong bảo vệ người tiêu dùng là gì?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D48,1,-1,1
160,Quản lý nhà nước về công nghiệp công nghệ số bao gồm những nội dung gì?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D5,1,1,1
161,Hợp tác quốc tế về công nghiệp công nghệ số được thực hiện ra sao?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D6,1,1,1
162,Quản lý chất lượng trong hoạt động công nghiệp công nghệ số được quy định như thế nào?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D7,1,1,1
163,"Việc thử nghiệm có kiểm soát sản phẩm, dịch vụ ứng dụng công nghệ số được quy định ra sao?",Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D8,1,1,1
164,Chương trình phát triển công nghiệp công nghệ số gồm những nội dung gì?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D9,1,1,1
165,"Bảo đảm an toàn, an ninh mạng trong hoạt động công nghiệp công nghệ số được quy định ra sao?",Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D10,1,1,1
166,Tài chính cho phát triển công nghiệp công nghệ số được quy định như thế nào?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D11,1,1,1
167,Các hành vi nào bị nghiêm cấm trong lĩnh vực công nghiệp công nghệ số?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D12,1,1,1
168,Hoạt động công nghiệp công nghệ số bao gồm những hoạt động nào?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D13,2,4,1
169,"Sản phẩm, dịch vụ công nghệ số trọng điểm được quy định gồm những loại nào?",Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D14,-1,1,1
170,Nguyên tắc chung về hoạt động ứng dụng công nghệ thông tin gồm những gì?,Lu_t_C_ng_ngh_th_ng_tin_2006_D13,1,1,1
171,Việc ưu tiên ứng dụng công nghệ thông tin trong trường hợp khẩn cấp được quy định ra sao?,Lu_t_C_ng_ngh_th_ng_tin_2006_D14,-1,1,1
172,Việc quản lý và sử dụng thông tin số được quy định như thế nào?,Lu_t_C_ng_ngh_th_ng_tin_2006_D15,1,1,1
173,Việc truyền đưa thông tin số được quy định ra sao?,Lu_t_C_ng_ngh_th_ng_tin_2006_D16,1,1,1
174,Việc lưu trữ tạm thời thông tin số được quy định ra sao?,Lu_t_C_ng_ngh_th_ng_tin_2006_D17,1,1,1
175,Việc cho thuê chỗ lưu trữ thông tin số được quy định như thế nào?,Lu_t_C_ng_ngh_th_ng_tin_2006_D18,1,1,1
176,Công cụ tìm kiếm thông tin số được quy định ra sao?,Lu_t_C_ng_ngh_th_ng_tin_2006_D19,-1,1,1
177,"Việc theo dõi, giám sát nội dung thông tin số được quy định như thế nào?",Lu_t_C_ng_ngh_th_ng_tin_2006_D20,-1,1,1
178,"Việc thu thập, xử lý và sử dụng thông tin cá nhân trên môi trường mạng được quy định ra sao?",Lu_t_C_ng_ngh_th_ng_tin_2006_D21,1,1,1
179,"Việc lưu trữ, cung cấp thông tin cá nhân trên môi trường mạng được quy định ra sao?",Lu_t_C_ng_ngh_th_ng_tin_2006_D22,1,1,1
180,Hợp tác quốc tế về dữ liệu được thực hiện ra sao?,Lu_t_D_li_u_2024_D7,1,1,2
181,Quản lý nhà nước về dữ liệu bao gồm những nội dung gì?,Lu_t_D_li_u_2024_D8,1,1,1
182,"Việc xây dựng, phát triển dữ liệu trong các cơ quan Đảng và tổ chức chính trị - xã hội được quy định ra sao?",Lu_t_D_li_u_2024_D9,-1,1,1
183,Các hành vi nào bị nghiêm cấm liên quan đến dữ liệu?,Lu_t_D_li_u_2024_D10,1,-1,1
184,"Việc thu thập, tạo lập dữ liệu được quy định như thế nào?",Lu_t_D_li_u_2024_D11,1,1,1
185,Việc bảo đảm chất lượng dữ liệu được quy định ra sao?,Lu_t_D_li_u_2024_D12,-1,1,1
186,Phân loại dữ liệu được quy định như thế nào?,Lu_t_D_li_u_2024_D13,1,1,1
187,Hoạt động lưu trữ dữ liệu được quy định ra sao?,Lu_t_D_li_u_2024_D14,1,1,1
188,"Việc quản trị, quản lý dữ liệu được quy định như thế nào?",Lu_t_D_li_u_2024_D15,-1,1,1
189,"Việc truy cập, truy xuất dữ liệu được quy định ra sao?",Lu_t_D_li_u_2024_D16,-1,1,1
190,Việc bảo đảm an toàn thông tin mạng và an ninh mạng trong giao dịch điện tử được quy định ra sao?,Lu_t_Giao_d_ch_i_n_t_2023_D5,-1,1,1
191,Các hành vi nào bị nghiêm cấm trong giao dịch điện tử?,Lu_t_Giao_d_ch_i_n_t_2023_D6,1,1,1
192,Hình thức thể hiện của thông điệp dữ liệu được quy định như thế nào?,Lu_t_Giao_d_ch_i_n_t_2023_D7,-1,-1,1
193,Giá trị pháp lý của thông điệp dữ liệu được quy định ra sao?,Lu_t_Giao_d_ch_i_n_t_2023_D8,-1,-1,1
194,Chữ ký điện tử được quy định gồm những loại nào?,Lu_t_Giao_d_ch_i_n_t_2023_D22,1,1,2
195,Giá trị pháp lý của chữ ký điện tử được quy định ra sao?,Lu_t_Giao_d_ch_i_n_t_2023_D23,1,1,1
196,Dịch vụ chứng thực chữ ký số chuyên dùng công vụ được quy định như thế nào?,Lu_t_Giao_d_ch_i_n_t_2023_D24,-1,1,1
197,Việc sử dụng chữ ký điện tử chuyên dùng và chữ ký điện tử chuyên dùng bảo đảm an toàn được quy định ra sao?,Lu_t_Giao_d_ch_i_n_t_2023_D25,-1,1,2
198,Việc công nhận tổ chức cung cấp dịch vụ chứng thực chữ ký điện tử nước ngoài được quy định ra sao?,Lu_t_Giao_d_ch_i_n_t_2023_D26,1,2,1
199,Chữ ký điện tử nước ngoài được chấp nhận trong giao dịch quốc tế khi nào?,Lu_t_Giao_d_ch_i_n_t_2023_D27,1,1,1
200,"Phòng ngừa, xử lý thông tin trên không gian mạng có nội dung tuyên truyền chống Nhà nước được quy định ra sao?",Lu_t_An_ninh_m_ng_2018_D16,1,2,1
201,Bảo đảm an ninh thông tin trên không gian mạng đối với doanh nghiệp được quy định như thế nào?,Lu_t_An_ninh_m_ng_2018_D26,1,1,1
202,"Phòng, chống gián điệp mạng và bảo vệ bí mật trên không gian mạng được quy định ra sao?",Lu_t_An_ninh_m_ng_2018_D17,1,1,2
203,Việc xử lý vi phạm pháp luật về an ninh mạng được quy định ra sao?,Lu_t_An_ninh_m_ng_2018_D9,-1,1,1
204,Lực lượng bảo vệ an ninh mạng gồm những thành phần nào?,Lu_t_An_ninh_m_ng_2018_D30,-1,2,2
205,Việc bảo đảm an ninh thông tin mạng được quy định ra sao?,Lu_t_An_ninh_m_ng_2025_D25,1,1,2
206,Hoạt động đấu tranh bảo vệ an ninh mạng được quy định như thế nào?,Lu_t_An_ninh_m_ng_2025_D21,2,5,3
207,"Việc kiểm tra an ninh mạng đối với hệ thống thông tin của cơ quan, tổ chức không thuộc danh mục quan trọng quốc gia được",Lu_t_An_ninh_m_ng_2025_D12,2,1,1
208,"Phòng, chống xâm hại trẻ em trên không gian mạng được quy định như thế nào?",Lu_t_An_ninh_m_ng_2025_D16,1,1,1
209,"Phòng ngừa, phát hiện, ngăn chặn và xử lý phần mềm độc hại được quy định ra sao?",Lu_t_An_ninh_m_ng_2025_D17,2,2,-1
210,"Việc quản lý tiêu chuẩn, quy chuẩn kỹ thuật an toàn thông tin mạng được quy định ra sao?",Lu_t_An_to_n_th_ng_tin_m_ng_2015_D38,1,1,1
211,"Tiêu chuẩn, quy chuẩn kỹ thuật an toàn thông tin mạng được quy định gồm những loại nào?",Lu_t_An_to_n_th_ng_tin_m_ng_2015_D37,1,1,1
212,"Việc thẩm định hồ sơ và cấp Giấy phép kinh doanh sản phẩm, dịch vụ an toàn thông tin mạng được quy định ra sao?",Lu_t_An_to_n_th_ng_tin_m_ng_2015_D44,1,2,1
213,"Việc sửa đổi, bổ sung, gia hạn, tạm đình chỉ và thu hồi Giấy phép kinh doanh sản phẩm, dịch vụ an toàn thông tin mạng đư",Lu_t_An_to_n_th_ng_tin_m_ng_2015_D45,1,1,1
214,"Trách nhiệm của doanh nghiệp kinh doanh sản phẩm, dịch vụ an toàn thông tin mạng được quy định ra sao?",Lu_t_An_to_n_th_ng_tin_m_ng_2015_D46,1,1,1
215,Sự đồng ý của chủ thể dữ liệu cá nhân được quy định như thế nào?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D9,1,1,2
216,Nguyên tắc bảo vệ dữ liệu cá nhân gồm những nguyên tắc gì?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D3,-1,1,5
217,Việc công khai dữ liệu cá nhân được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D16,1,1,1
218,Việc cập nhật hồ sơ đánh giá tác động xử lý và chuyển dữ liệu cá nhân xuyên biên giới được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D22,1,1,1
219,Bảo vệ dữ liệu cá nhân trong kinh doanh dịch vụ quảng cáo được quy định ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D28,1,1,1
220,Hợp tác quốc tế trong bảo vệ quyền lợi người tiêu dùng được thực hiện ra sao?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D12,1,1,1
221,"Hợp đồng giao kết với người tiêu dùng, hợp đồng theo mẫu và điều kiện giao dịch chung được quy định ra sao?",Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D23,1,1,1
222,"Việc giải thích hợp đồng giao kết với người tiêu dùng, hợp đồng theo mẫu được quy định ra sao?",Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D24,1,1,1
223,"Trách nhiệm của bên thứ ba trong việc cung cấp thông tin về sản phẩm, hàng hóa, dịch vụ cho người tiêu dùng là gì?",Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D22,1,1,1
224,"Điều khoản nào không được phép quy định trong hợp đồng giao kết với người tiêu dùng, hợp đồng theo mẫu, điều kiện giao d",Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D25,1,1,1
225,"Sản phẩm, dịch vụ công nghệ số hạn chế chuyển giao được quy định ra sao?",Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D15,1,1,1
226,"Việc thúc đẩy nghiên cứu và phát triển sản phẩm, dịch vụ công nghệ số được quy định ra sao?",Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D16,1,1,1
227,Phát triển cơ sở nghiên cứu và phát triển công nghệ số được quy định ra sao?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D17,1,1,1
228,Phát triển nhân lực công nghiệp công nghệ số được quy định ra sao?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D18,1,1,1
229,Việc thu hút nguồn nhân lực công nghiệp công nghệ số chất lượng cao được quy định ra sao?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D19,1,1,1
230,Việc thiết lập trang thông tin điện tử được quy định như thế nào?,Lu_t_C_ng_ngh_th_ng_tin_2006_D23,1,1,1
231,Nguyên tắc ứng dụng công nghệ thông tin trong hoạt động của cơ quan nhà nước gồm những gì?,Lu_t_C_ng_ngh_th_ng_tin_2006_D24,1,1,1
232,Điều kiện để triển khai ứng dụng công nghệ thông tin trong hoạt động của cơ quan nhà nước là gì?,Lu_t_C_ng_ngh_th_ng_tin_2006_D25,1,1,1
233,Nội dung ứng dụng công nghệ thông tin trong hoạt động của cơ quan nhà nước bao gồm những gì?,Lu_t_C_ng_ngh_th_ng_tin_2006_D26,1,1,1
234,Hoạt động của cơ quan nhà nước trên môi trường mạng được quy định ra sao?,Lu_t_C_ng_ngh_th_ng_tin_2006_D27,1,-1,1
235,"Việc kết nối, chia sẻ, điều phối dữ liệu được quy định ra sao?",Lu_t_D_li_u_2024_D17,-1,1,1
236,Việc cung cấp dữ liệu cho cơ quan nhà nước được quy định như thế nào?,Lu_t_D_li_u_2024_D18,1,1,1
237,"Việc phân tích, tổng hợp dữ liệu được quy định ra sao?",Lu_t_D_li_u_2024_D19,-1,1,1
238,"Việc xác nhận, xác thực dữ liệu được quy định như thế nào?",Lu_t_D_li_u_2024_D20,-1,1,1
239,Việc công khai dữ liệu được quy định ra sao?,Lu_t_D_li_u_2024_D21,-1,1,1
240,"Yêu cầu đối với lưu trữ, xử lý chứng thư điện tử được quy định ra sao?",Lu_t_Giao_d_ch_i_n_t_2023_D21,1,1,1
241,Dịch vụ tin cậy bao gồm những loại dịch vụ nào?,Lu_t_Giao_d_ch_i_n_t_2023_D28,-1,4,1
242,Điều kiện kinh doanh dịch vụ tin cậy được quy định ra sao?,Lu_t_Giao_d_ch_i_n_t_2023_D29,-1,1,1
243,Trách nhiệm của tổ chức cung cấp dịch vụ tin cậy là gì?,Lu_t_Giao_d_ch_i_n_t_2023_D30,1,1,1
244,Dịch vụ cấp dấu thời gian được quy định như thế nào?,Lu_t_Giao_d_ch_i_n_t_2023_D31,-1,4,1
245,Các đối tượng quyền liên quan được bảo hộ gồm những đối tượng nào?,Lu_t_S_h_u_tr_tu_2005_D17,1,2,2
246,Các loại hình tác phẩm được bảo hộ quyền tác giả gồm những loại nào?,Lu_t_S_h_u_tr_tu_2005_D14,1,-1,1
247,Thời hạn bảo hộ quyền tác giả được quy định ra sao?,Lu_t_S_h_u_tr_tu_2005_D27,1,-1,1
248,Quyền tài sản của tác giả gồm những quyền nào?,Lu_t_S_h_u_tr_tu_2005_D20,1,-1,2
249,Quyền tự bảo vệ quyền sở hữu trí tuệ được quy định như thế nào?,Lu_t_S_h_u_tr_tu_2005_D198,1,3,2
250,Đánh giá điều kiện an ninh mạng đối với hệ thống thông tin quan trọng về an ninh quốc gia được thực hiện ra sao?,Lu_t_An_ninh_m_ng_2018_D12,1,1,1
251,"Phòng ngừa, xử lý thông tin có nội dung tuyên truyền chống Nhà nước trên không gian mạng được quy định ra sao?",Lu_t_An_ninh_m_ng_2018_D16,-1,2,1
252,Việc kiểm tra an ninh mạng đối với hệ thống thông tin quan trọng về an ninh quốc gia được thực hiện như thế nào?,Lu_t_An_ninh_m_ng_2018_D13,1,1,1
253,Biện pháp bảo vệ an ninh mạng được quy định gồm những biện pháp nào?,Lu_t_An_ninh_m_ng_2018_D5,1,1,2
254,Bảo vệ không gian mạng quốc gia được quy định như thế nào?,Lu_t_An_ninh_m_ng_2018_D6,1,1,1
255,Các thông tin và hành vi sử dụng công nghệ thông tin xâm phạm an ninh quốc gia trên không gian mạng được quy định gồm nh,Lu_t_An_ninh_m_ng_2025_D13,1,1,1
256,"Sản phẩm, dịch vụ an ninh mạng được quy định gồm những loại nào?",Lu_t_An_ninh_m_ng_2025_D28,1,1,1
257,Việc ngăn chặn xung đột thông tin trên không gian mạng được quy định ra sao?,Lu_t_An_ninh_m_ng_2025_D22,1,1,1
258,"Phòng, chống khủng bố mạng được quy định như thế nào?",Lu_t_An_ninh_m_ng_2025_D19,2,1,2
259,"Tiêu chuẩn, quy chuẩn kỹ thuật an ninh mạng được quy định ra sao?",Lu_t_An_ninh_m_ng_2025_D27,1,1,1
260,Nhiệm vụ bảo vệ hệ thống thông tin được quy định gồm những nội dung gì?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D22,-1,1,1
261,Biện pháp bảo vệ hệ thống thông tin được quy định gồm những biện pháp nào?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D23,-1,1,1
262,Việc giám sát an toàn hệ thống thông tin được quy định ra sao?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D24,1,1,1
263,Trách nhiệm của chủ quản hệ thống thông tin được quy định ra sao?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D25,1,2,1
264,Hệ thống thông tin quan trọng quốc gia được quy định gồm những loại nào?,Lu_t_An_to_n_th_ng_tin_m_ng_2015_D26,-1,1,-1
265,Việc thông báo vi phạm quy định về bảo vệ dữ liệu cá nhân được thực hiện ra sao?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D23,-1,1,4
266,Bảo vệ dữ liệu cá nhân của trẻ em và người có khó khăn nhận thức được quy định như thế nào?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D24,-1,2,1
267,"Bảo vệ dữ liệu cá nhân trong hoạt động tài chính, ngân hàng và thông tin tín dụng được quy định ra sao?",Lu_t_B_o_v_d_li_u_c_nh_n_2025_D27,1,1,1
268,"Bảo vệ dữ liệu cá nhân trong hoạt động tài chính, ngân hàng và thông tin tín dụng gồm những nội dung gì?",Lu_t_B_o_v_d_li_u_c_nh_n_2025_D27,1,1,1
269,Các hoạt động khác trong xử lý dữ liệu cá nhân bao gồm những gì?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D18,1,1,1
270,Việc sử dụng thông tin của người tiêu dùng được quy định ra sao?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D18,1,1,1
271,"Việc kiểm tra, chỉnh sửa, cập nhật, hủy bỏ, chuyển giao thông tin của người tiêu dùng được quy định ra sao?",Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D20,1,1,1
272,"Việc cung cấp thông tin về sản phẩm, hàng hóa, dịch vụ và hợp đồng theo mẫu cho người tiêu dùng được quy định ra sao?",Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D21,1,1,1
273,Việc giải thích hợp đồng giao kết với người tiêu dùng và hợp đồng theo mẫu được quy định ra sao?,Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D24,1,1,1
274,"Việc miễn trách nhiệm bồi thường thiệt hại do sản phẩm, hàng hóa có khuyết tật gây ra được quy định ra sao?",Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D35,1,1,1
275,"Việc thu hút, trọng dụng nhân tài công nghệ số được quy định ra sao?",Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D20,1,1,1
276,"Việc đầu tư, thu hút nguồn lực phát triển hạ tầng công nghiệp công nghệ số được quy định ra sao?",Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D21,1,1,1
277,"Việc thành lập, mở rộng khu công nghệ số tập trung được quy định ra sao?",Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D22,1,1,1
278,Việc công nhận khu chức năng là khu công nghệ số tập trung được quy định ra sao?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D23,1,1,1
279,Ưu đãi đối với khu công nghệ số tập trung được quy định ra sao?,Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D24,1,1,1
280,Trang thông tin điện tử của cơ quan nhà nước được quy định như thế nào?,Lu_t_C_ng_ngh_th_ng_tin_2006_D28,1,2,1
281,Nguyên tắc ứng dụng công nghệ thông tin trong thương mại được quy định ra sao?,Lu_t_C_ng_ngh_th_ng_tin_2006_D29,1,1,1
282,Trang thông tin điện tử bán hàng được quy định ra sao?,Lu_t_C_ng_ngh_th_ng_tin_2006_D30,1,1,1
283,Việc cung cấp thông tin cho việc giao kết hợp đồng trên môi trường mạng được quy định ra sao?,Lu_t_C_ng_ngh_th_ng_tin_2006_D31,1,1,1
284,Việc giải quyết hậu quả do lỗi nhập sai thông tin thương mại trên môi trường mạng được quy định ra sao?,Lu_t_C_ng_ngh_th_ng_tin_2006_D32,1,1,1
285,"Việc mã hóa, giải mã dữ liệu được quy định ra sao?",Lu_t_D_li_u_2024_D22,1,1,1
286,"Việc chuyển, xử lý dữ liệu xuyên biên giới được quy định như thế nào?",Lu_t_D_li_u_2024_D23,1,1,1
287,"Hoạt động khoa học, công nghệ và đổi mới sáng tạo trong xây dựng, phát triển, bảo vệ, quản trị, xử lý, sử dụng dữ liệu đ",Lu_t_D_li_u_2024_D24,1,1,1
288,Việc xác định và quản lý rủi ro phát sinh trong xử lý dữ liệu được quy định ra sao?,Lu_t_D_li_u_2024_D25,1,1,1
289,Các hoạt động khác trong xử lý dữ liệu bao gồm những gì?,Lu_t_D_li_u_2024_D26,1,1,2
290,Dịch vụ chứng thực thông điệp dữ liệu được quy định ra sao?,Lu_t_Giao_d_ch_i_n_t_2023_D32,-1,1,1
291,Dịch vụ chứng thực chữ ký số công cộng được quy định ra sao?,Lu_t_Giao_d_ch_i_n_t_2023_D33,-1,1,2
292,Hợp đồng điện tử được quy định như thế nào?,Lu_t_Giao_d_ch_i_n_t_2023_D34,1,-1,2
293,Việc giao kết hợp đồng điện tử được quy định ra sao?,Lu_t_Giao_d_ch_i_n_t_2023_D35,-1,1,3
294,Nguyên tắc giao kết và thực hiện hợp đồng điện tử gồm những nguyên tắc gì?,Lu_t_Giao_d_ch_i_n_t_2023_D36,1,1,1
295,Đối tượng quyền sở hữu trí tuệ bao gồm những đối tượng nào?,Lu_t_S_h_u_tr_tu_2005_D3,-1,1,1
296,Điều kiện chung đối với sáng chế được bảo hộ là gì?,Lu_t_S_h_u_tr_tu_2005_D58,1,-1,1
297,Điều kiện chung đối với kiểu dáng công nghiệp được bảo hộ là gì?,Lu_t_S_h_u_tr_tu_2005_D63,1,-1,1
298,Điều kiện chung đối với nhãn hiệu được bảo hộ là gì?,Lu_t_S_h_u_tr_tu_2005_D72,1,-1,1
299,Điều kiện chung đối với chỉ dẫn địa lý được bảo hộ là gì?,Lu_t_S_h_u_tr_tu_2005_D79,1,-1,1
300,Bảo vệ trẻ em trên không gian mạng được quy định gồm những nội dung gì?,Lu_t_An_ninh_m_ng_2018_D29,1,1,1
